ts,temperature,flow,energy_kwh_inst,quality_signal,yield_proxy
2026-03-03T14:00:00Z,149.72,12.05,31.5,1,0.9557
2026-03-03T14:01:00Z,149.88,12.07,31.73,1,0.9594
2026-03-03T14:02:00Z,150.37,12.08,31.59,1,0.9428
2026-03-03T14:03:00Z,150.21,12.05,31.65,1,0.961
2026-03-03T14:04:00Z,150.51,11.98,31.47,1,0.9531
2026-03-03T14:05:00Z,150.75,11.93,31.57,1,0.9514
2026-03-03T14:06:00Z,150.68,12.03,31.48,1,0.9513
2026-03-03T14:07:00Z,151.0,12.05,31.79,1,0.9472
2026-03-03T14:08:00Z,151.04,12.1,31.63,1,0.9531
2026-03-03T14:09:00Z,151.35,12.06,31.63,1,0.9546
2026-03-03T14:10:00Z,151.47,11.91,31.32,1,0.951
2026-03-03T14:11:00Z,151.76,11.91,31.45,1,0.951
2026-03-03T14:12:00Z,151.63,11.8,31.12,1,0.9331
2026-03-03T14:13:00Z,151.56,11.74,31.01,1,0.9529
2026-03-03T14:14:00Z,151.59,11.66,30.86,1,0.9394
2026-03-03T14:15:00Z,151.58,11.57,30.8,1,0.9538
2026-03-03T14:16:00Z,151.17,11.56,30.84,1,0.9591
2026-03-03T14:17:00Z,151.47,11.58,30.74,1,0.938
2026-03-03T14:18:00Z,151.92,11.56,30.73,1,0.9484
2026-03-03T14:19:00Z,152.08,11.56,30.63,1,0.9628
2026-03-03T14:20:00Z,152.16,11.52,30.57,1,0.9214
2026-03-03T14:21:00Z,152.39,11.52,30.74,1,0.9458
2026-03-03T14:22:00Z,152.7,11.41,30.54,1,0.952
2026-03-03T14:23:00Z,152.91,11.42,30.53,1,0.9428
2026-03-03T14:24:00Z,153.11,11.32,30.33,1,0.936
2026-03-03T14:25:00Z,152.61,11.23,30.01,1,0.9436
2026-03-03T14:26:00Z,152.49,11.27,30.13,1,0.9353
2026-03-03T14:27:00Z,152.37,11.3,30.29,1,0.9513
2026-03-03T14:28:00Z,152.2,11.29,30.16,1,0.9436
2026-03-03T14:29:00Z,151.91,11.25,30.04,1,0.9444
2026-03-03T14:30:00Z,151.92,11.29,30.17,1,0.9529
2026-03-03T14:31:00Z,151.93,11.25,30.16,1,0.9419
2026-03-03T14:32:00Z,151.63,11.32,30.25,1,0.9468
2026-03-03T14:33:00Z,151.54,11.28,30.21,1,0.949
2026-03-03T14:34:00Z,151.79,11.28,30.05,1,0.9523
2026-03-03T14:35:00Z,151.6,11.22,29.89,1,0.9487
2026-03-03T14:36:00Z,151.71,11.25,29.96,1,0.9581
2026-03-03T14:37:00Z,151.44,11.24,30.16,1,0.9405
2026-03-03T14:38:00Z,151.11,11.25,30.04,1,0.9639
2026-03-03T14:39:00Z,151.02,11.21,30.03,1,0.9548
2026-03-03T14:40:00Z,151.37,11.2,30.0,1,0.9634
2026-03-03T14:41:00Z,151.39,11.21,29.88,1,0.9474
2026-03-03T14:42:00Z,151.49,11.25,30.1,1,0.9603
2026-03-03T14:43:00Z,151.68,11.19,30.04,1,0.9604
2026-03-03T14:44:00Z,151.56,11.12,29.77,1,0.9597
2026-03-03T14:45:00Z,151.53,11.16,30.3,1,0.9365
2026-03-03T14:46:00Z,151.37,11.13,29.84,1,0.9347
2026-03-03T14:47:00Z,151.5,11.24,30.22,1,0.9334
2026-03-03T14:48:00Z,151.24,11.18,30.01,1,0.9416
2026-03-03T14:49:00Z,151.32,11.1,29.92,1,0.9339
2026-03-03T14:50:00Z,151.1,11.1,29.58,1,0.9509
