ts,temperature,flow,energy_kwh_inst,quality_signal,yield_proxy
2026-03-03T18:00:00Z,149.81,11.97,31.33,1,0.9531
2026-03-03T18:01:00Z,149.73,12.02,31.4,1,0.9357
2026-03-03T18:02:00Z,150.02,12.1,31.72,1,0.9448
2026-03-03T18:03:00Z,150.07,12.09,31.56,1,0.9626
2026-03-03T18:04:00Z,150.34,12.13,31.9,1,0.9383
2026-03-03T18:05:00Z,150.39,12.07,31.78,1,0.9612
2026-03-03T18:06:00Z,150.25,11.96,31.58,1,0.9601
2026-03-03T18:07:00Z,150.35,11.89,31.24,1,0.9444
2026-03-03T18:08:00Z,150.29,11.82,31.12,1,0.944
2026-03-03T18:09:00Z,150.62,11.81,31.25,1,0.9538
2026-03-03T18:10:00Z,150.56,11.69,30.85,1,0.9455
2026-03-03T18:11:00Z,150.7,11.66,30.86,1,0.9509
2026-03-03T18:12:00Z,150.49,11.69,30.87,1,0.9575
2026-03-03T18:13:00Z,150.69,11.75,31.08,1,0.9609
2026-03-03T18:14:00Z,150.7,11.74,30.94,1,0.9383
2026-03-03T18:15:00Z,150.63,11.8,30.97,1,0.9567
2026-03-03T18:16:00Z,150.65,11.77,30.98,1,0.9319
2026-03-03T18:17:00Z,150.54,11.83,31.28,1,0.957
2026-03-03T18:18:00Z,150.54,11.85,31.06,1,0.966
2026-03-03T18:19:00Z,150.43,11.87,31.18,1,0.9424
2026-03-03T18:20:00Z,150.46,11.89,31.37,1,0.9436
2026-03-03T18:21:00Z,150.51,11.95,31.45,1,0.9452
2026-03-03T18:22:00Z,150.41,11.95,31.4,1,0.9672
2026-03-03T18:23:00Z,150.41,11.94,31.44,1,0.9521
2026-03-03T18:24:00Z,150.52,11.94,31.33,1,0.9485
2026-03-03T18:25:00Z,150.29,11.87,31.23,1,0.9561
2026-03-03T18:26:00Z,150.17,11.9,31.17,1,0.9519
2026-03-03T18:27:00Z,149.84,11.89,31.4,1,0.9645
2026-03-03T18:28:00Z,149.63,11.81,31.08,1,0.9602
2026-03-03T18:29:00Z,149.49,11.77,31.04,1,0.9504
2026-03-03T18:30:00Z,149.34,11.8,31.13,1,0.9427
2026-03-03T18:31:00Z,149.41,11.8,31.11,1,0.9541
2026-03-03T18:32:00Z,149.36,11.8,31.08,1,0.9548
2026-03-03T18:33:00Z,149.38,11.89,31.24,1,0.9497
2026-03-03T18:34:00Z,149.2,11.85,31.13,1,0.9397
2026-03-03T18:35:00Z,149.13,11.92,31.21,1,0.9404
2026-03-03T18:36:00Z,149.32,11.94,31.47,1,0.9561
2026-03-03T18:37:00Z,149.24,11.86,31.11,1,0.9462
2026-03-03T18:38:00Z,149.25,11.83,31.09,1,0.9481
2026-03-03T18:39:00Z,148.76,11.82,31.04,1,0.9454
2026-03-03T18:40:00Z,148.43,11.73,30.83,1,0.9582
2026-03-03T18:41:00Z,148.41,11.77,30.99,1,0.9459
2026-03-03T18:42:00Z,148.61,11.75,30.87,1,0.9538
2026-03-03T18:43:00Z,148.59,11.77,30.98,1,0.9586
2026-03-03T18:44:00Z,148.24,11.71,30.94,1,0.9521
2026-03-03T18:45:00Z,148.38,11.72,30.85,1,0.945
2026-03-03T18:46:00Z,148.3,11.67,30.91,1,0.9236
2026-03-03T18:47:00Z,148.26,11.65,30.8,1,0.9637
2026-03-03T18:48:00Z,148.25,11.65,30.84,1,0.9515
2026-03-03T18:49:00Z,148.56,11.6,30.64,1,0.9359
2026-03-03T18:50:00Z,148.69,11.62,30.58,1,0.9468
2026-03-03T18:51:00Z,148.81,11.6,30.45,1,0.9454
2026-03-03T18:52:00Z,148.85,11.65,30.84,1,0.9724
2026-03-03T18:53:00Z,148.64,11.59,30.57,1,0.9343
2026-03-03T18:54:00Z,148.69,11.59,30.7,1,0.9545
2026-03-03T18:55:00Z,148.37,11.66,30.59,1,0.948
2026-03-03T18:56:00Z,148.66,11.59,30.57,1,0.9631
2026-03-03T18:57:00Z,148.95,11.6,30.7,1,0.9625
2026-03-03T18:58:00Z,148.93,11.57,30.68,1,0.9417
2026-03-03T18:59:00Z,148.84,11.63,30.7,1,0.9469
2026-03-03T19:00:00Z,148.92,11.65,30.72,1,0.9343
