ts,temperature,flow
2026-03-03T12:00:00Z,150.32,12.14
2026-03-03T12:01:00Z,150.22,12.06
2026-03-03T12:02:00Z,150.94,11.9
2026-03-03T12:03:00Z,150.39,12.01
2026-03-03T12:04:00Z,150.4,11.84
2026-03-03T12:05:00Z,150.51,11.89
2026-03-03T12:06:00Z,150.59,11.91
2026-03-03T12:07:00Z,150.81,11.92
2026-03-03T12:08:00Z,150.44,12.08
2026-03-03T12:09:00Z,150.25,12.02
2026-03-03T12:10:00Z,150.76,11.84
2026-03-03T12:11:00Z,150.54,12.03
2026-03-03T12:12:00Z,150.66,11.88
2026-03-03T12:13:00Z,150.24,12.05
2026-03-03T12:14:00Z,150.56,12.03
2026-03-03T12:15:00Z,150.57,11.93
2026-03-03T12:16:00Z,150.55,12.03
2026-03-03T12:17:00Z,150.36,12.19
2026-03-03T12:18:00Z,150.59,11.88
2026-03-03T12:19:00Z,150.63,11.9
2026-03-03T12:20:00Z,150.66,12.12
2026-03-03T12:21:00Z,150.34,12.1
2026-03-03T12:22:00Z,150.58,12.08
2026-03-03T12:23:00Z,150.88,11.98
2026-03-03T12:24:00Z,150.35,11.91
2026-03-03T12:25:00Z,150.34,11.99
2026-03-03T12:26:00Z,150.57,12.03
2026-03-03T12:27:00Z,150.67,12.0
2026-03-03T12:28:00Z,150.79,11.97
2026-03-03T12:29:00Z,151.04,12.06
2026-03-03T12:30:00Z,150.33,11.89
2026-03-03T12:31:00Z,150.6,11.98
2026-03-03T12:32:00Z,150.64,12.05
2026-03-03T12:33:00Z,150.49,11.92
2026-03-03T12:34:00Z,150.2,11.96
2026-03-03T12:35:00Z,150.67,12.02
2026-03-03T12:36:00Z,150.25,12.02
2026-03-03T12:37:00Z,150.58,11.91
2026-03-03T12:38:00Z,150.53,12.01
2026-03-03T12:39:00Z,150.27,12.04
2026-03-03T12:40:00Z,150.61,12.11
2026-03-03T12:41:00Z,150.71,11.86
2026-03-03T12:42:00Z,150.31,12.05
2026-03-03T12:43:00Z,150.6,12.05
2026-03-03T12:44:00Z,151.27,12.06
2026-03-03T12:45:00Z,150.73,12.1
2026-03-03T12:46:00Z,150.63,11.97
2026-03-03T12:47:00Z,150.65,11.92
2026-03-03T12:48:00Z,150.45,11.95
2026-03-03T12:49:00Z,150.52,12.23
2026-03-03T12:50:00Z,150.13,12.07
2026-03-03T12:51:00Z,150.18,11.95
2026-03-03T12:52:00Z,150.72,12.01
2026-03-03T12:53:00Z,150.28,11.93
2026-03-03T12:54:00Z,150.64,11.93
2026-03-03T12:55:00Z,150.54,12.0
2026-03-03T12:56:00Z,150.37,12.21
2026-03-03T12:57:00Z,150.63,11.8
2026-03-03T12:58:00Z,150.54,11.93
2026-03-03T12:59:00Z,150.67,11.92
